meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,43401,< 5
hospitalisation_primary,ICD9,41011,< 5
exemption,ICD9,434,< 5
hospitalisation_primary,ICD9,41000,< 5
hospitalisation_primary,ICD9,43400,< 5
hospitalisation_primary,ICD9,41042,< 5
hospitalisation_secondary,ICD9,412,< 5
hospitalisation_primary,ICD9,41050,< 5
hospitalisation_primary,ICD9,41071,5
hospitalisation_secondary,ICD9,41090,< 5
hospitalisation_primary,ICD9,43411,< 5
hospitalisation_primary,ICD9,41041,< 5
hospitalisation_secondary,ICD9,43401,< 5
hospitalisation_primary,ICD9,43491,< 5
hospitalisation_secondary,ICD9,43411,< 5
hospitalisation_primary,ICD9,41021,< 5
